
2024/12/25 (16:39:26) | ===> btop++ v.1.4.0
2024/12/25 (16:39:26) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/12/25 (17:36:20) | ===> btop++ v.1.4.0
2024/12/25 (17:36:20) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/12/25 (19:56:13) | ===> btop++ v.1.4.0
2024/12/25 (19:56:13) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/12/27 (05:55:07) | ===> btop++ v.1.4.0
2024/12/27 (05:55:07) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/12/27 (05:57:34) | ===> btop++ v.1.4.0
2024/12/27 (05:57:34) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/12/27 (05:59:49) | ===> btop++ v.1.4.0
2024/12/27 (05:59:49) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/12/29 (05:24:45) | ===> btop++ v.1.4.0
2024/12/29 (05:24:45) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2025/01/13 (23:08:33) | ===> btop++ v.1.4.0
2025/01/13 (23:08:33) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2025/02/01 (18:36:03) | ===> btop++ v.1.4.0
2025/02/01 (18:36:03) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2025/02/02 (17:57:20) | ===> btop++ v.1.4.0
2025/02/02 (17:57:20) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2025/02/05 (01:39:48) | ===> btop++ v.1.4.0
2025/02/05 (01:39:48) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2025/02/05 (01:57:35) | ===> btop++ v.1.4.0
2025/02/05 (01:57:35) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2025/02/05 (07:31:25) | ===> btop++ v.1.4.0
2025/02/05 (07:31:25) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2025/02/05 (12:13:47) | ===> btop++ v.1.4.0
2025/02/05 (12:13:47) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2025/02/05 (12:24:17) | ===> btop++ v.1.4.0
2025/02/05 (12:24:17) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2025/02/05 (18:29:35) | ===> btop++ v.1.4.0
2025/02/05 (18:29:35) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2025/02/05 (19:16:41) | ===> btop++ v.1.4.0
2025/02/05 (19:16:41) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2025/02/07 (20:18:24) | ===> btop++ v.1.4.0
2025/02/07 (20:18:24) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2025/02/11 (18:33:01) | ===> btop++ v.1.4.0
2025/02/11 (18:33:01) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2025/02/16 (23:06:06) | ===> btop++ v.1.4.0
2025/02/16 (23:06:06) | WARNING: NVML: Failed to get GPU power usage: Not Supported
